testimony_id,no end,no beginning,comments,monologue,not segment and not monologue,pass or fail,time stamps in the file,only answers and not monologue,other,only questions,presence of odd words
irn511057,,,"Missing chunks of iterview, lines cut-off, many words missing spaces between eachother",,,1,,,1,,
irn96025,,,"Non-segment only occurs a couple of times, ",,1,1,,,,,
irn508801,,,,,,,,,,,
irn41723,,,,,,,,,,,
irn96009,,,,,,,,,,,
irn511629,0,0,,,,1,1,,,,
irn508464,,,,,,0,,,,,
irn506661,0,,Many [indecipharable] in the transcript,,,1,,,,,
irn510454,0,,"Begins with technical text about tape, has strange dash-lines in the middle of the interview",,,1,,,,,
irn76756,,,,,,,,,,,
irn506632,,,,,,,,,,,
irn507534,,,,,,,,,,,
irn507376,,,,,,,,,,,
irn505567,,,,,,,,,,,
irn42207,,,,,,0,,,,,
irn513321,,,"Chunks missing, lines get cut-off",,1,1,1,,1,,
irn511184,,,,,,0,,,,,
irn82916,,,,,,,,,,,
irn41507,,,,,,,,,,,
irn515272,,,,,,,,,,,
irn38062,,,,,,,,,,,
irn511331,,,,,,,,,,,
irn504914,,,,,,,,,,,
irn510641,,,,,,,,,,,
irn509223,,,,,,,,,,,
irn509080,,,,,,,,,,,
irn518905,,,,,,,,,,,
irn506625,,,,,,,,,,,
irn510470,,,,,,,,,,,
irn504917,0,,pdf not found,,,1,,,1,,
irn511646,,,Missing interview,,,1,,,1,,
irn504834,,,,,,0,,,,,
irn511065,,,,,,,,,,,
irn41509,,,,,,,,,,,
irn42018,,,,,,,,,,,
irn509211,,,,,,,,,,,
irn47889,,,,,,,,,,,
irn511244,,,,,,,,,,,
irn509196,,,,,,,,,,,
irn509182,,,,,,,,,,,
irn508672,,,,,,,,,,,
irn510748,,,,,,,,,,,
irn504816,,,,,,,,,,,
irn515646,,,,,,,,,,,
irn511679,,,,,,,,,,,
irn507296,,,,,,,,,,,
irn510668,1,,beginning deviation from pdf,,,1,,,1,,
irn510637,,,,,,,,,,,
irn508952,,,,,,,,,,,
irn504427,,,,,,,,,,,
irn511333,,,,,,,,,,,
irn54253,,,,,,,,,,,
irn510660,0,,,,,1,,,,,
irn511275,0,,"Preface text at the beginning, ",,,1,,,1,,
irn507495,0,,"Preface text at the beginning, Tape break information mid-interview, some parts non-segmentes",,1,1,,,1,,1
irn512295,,,,,,0,,,,,
irn503660,,,,,,,,,,,
irn95256,,,,,,,,,,,
irn74542,,,,,,,,,,,
irn511650,,,,,,,,,,,
irn507490,,,,,,,,,,,
irn510695,,,,,,,,,,,
irn507461,,,,,,,,,,,
irn505568,,,,,,,,,,,
irn42031,,,,,,,,,,,
irn504883,,,,,,,,,,,
irn515625,,,,,,0,,,,,
irn510684,,,,,,0,,,,,
irn509150,,,,,,,,,,,
irn513377,,,,,,,,,,,
irn504753,,,,,,,,,,,
irn504625,,,,,,,,,,,
irn508625,,,,,,,,,,,
irn504841,1,,,,,1,,,,,
irn509167,,,,,,0,,,,,
irn511289,1,0,,,,1,,,,,1
irn509163,,,,,,1,,,,,1
irn42216,,,,,,0,,,,,
irn518916,,,,,,0,,,,,
irn510676,,,,,,,,,,,
irn507562,,,,,,,,,,,
irn509099,,,,,,,,,,,
irn504931,,,,,,,,,,,
irn511026,,1,"Parts of interview missing, lines cut-off",,,1,,,,,1
irn509178,,,,,,0,,,,,
irn54249,1,,,,,1,,,,,
irn41506,,,,,,,,,,,
irn508772,,,,,,,,,,,
irn505581,,,,,,,,,,,
irn508700,,,,,,,,,,,
irn506450,,,,,,,,,,,
irn511337,,,,,,,,,,,
irn506722,,,,,,,,,,,
irn504582,,,,,,,,,,,
irn513273,,,,,,0,,,,,
irn504677,,,,,,0,,,,,
irn504851,,,,,,,,,,,
irn510743,,,,,,,,,,,
irn47396,,,,,,,,,,,
irn513274,,,,,,,,,,,
irn510697,1,1,,,,1,1,,,,
irn76759,,,,,,,,,,,
irn507584,,,,,,0,,,,,
irn35788,,,,,,0,,,,,
irn508723,,,,,,,,,,,
irn508698,,,,,,,,,,,
irn508471,,,,,,0,,,,,
irn513374,0,,,,,1,,,,,
irn517506,,,,,,,,,,,
irn511292,,,,,,,,,,,
irn514210,,,,,,,,,,,
irn516732,,,,,,,,,,,
irn506718,,,,,,,,,,,
irn510701,,,,,,,,,,,
irn504454,,,,,,,,,,,
irn38082,,,,,,,,,,,
irn506725,,,,,,,,,,,
irn41496,,,,,,0,,,,,
irn508637,,1,beginning deviation from pdf,,,1,,,1,,1
irn509222,,,"processing issues, chunks missing",,,1,,,1,,
irn509224,,1,questions are labeled as answers and vise versa,,,1,,,1,,
irn41726,,,,,,,,,,,
irn504767,,,,,,,,,,,
irn41518,,,,,,,,,,,
irn515630,,,,,,,,,,,
irn505583,,,,,,,,,,,
irn514136,,,,,,,,,,,
irn504462,,,,,,,,,,,
irn506642,,,,,,0,,,,,
irn519108,,,,,,,,,,,
irn510643,,,,,,,,,,,
irn510625,1,1,large deviation from pdf,,,1,,,1,,
irn41511,,,,,,0,,,,,
irn510468,1,0,both issues in end,,,1,,,1,,
irn504685,,,,,,,,,,,
irn504624,,,,,,,,,,,
irn36882,,,,,,,,,,,
irn509183,,,,,,0,,,,,
